,lda_class_all,var_class_all,dist_class_all,can
20,"{2: [0.2157048143210227, 0.0754785335449835, 0.49252912146259137], 1: [1.0705143980023315, 0.522832758334893], 5: [0.13118460143508995], 4: [0.39077586492277205], 3: [0.7920183249999004], 0: [0.768544780844581]}","{2: [0.7611218705661373, 0.4711402499138814, 0.71541385022397], 1: [0.8658750916179064, 0.7558136063310984], 5: [0.5263158269065736], 4: [0.6185027082055898], 3: [0.7442213460565047], 0: [0.9236565320196337]}","{0: [0.00747710645686571], 1: [0.016889836601735993, 0.00853769126147078], 2: [0.01615217752463789, 0.016968115583131053, 0.011991854154051311, 0.07654369771902532], 3: [0.061393252508443, 0.15048253865153075, 0.14753143175808725, 0.15760284880027803, 0.018486095396080038, 0], 4: [0.01838460045869723, 0.12605342929836721], 5: [0.10860912077583619, 0.0345673328935894], 6: [0.12721570340711272, 0]}","[3, 1, 2]"
21,"{4: [0.06989706435316044, 0.20100874653367704], 3: [0.21088585997324902, 0.7902810155250896], 2: [0.4338807225546484, 0.15012640177632547, 0.5087746671275565], 1: [1.3369834200871205, 0.5190271886094628], 5: [0.3252890580919072], 0: [0.7326069571063966]}","{4: [0.948714538225297, 0.6503520321566807], 3: [0.4863783816676404, 0.7397739484686829], 2: [0.9610571256824535, 0.46980970957901386, 0.7160657742427319], 1: [0.9120273190299112, 0.7590690944926815], 5: [0.462683999615282], 0: [0.9182317862053501]}","{0: [0.00747710645686571], 1: [0.017967344789300295, 0.008839416666141141], 2: [0.014131102059053163, 0.03218205366919594, 0.01256717340795339, 0.07695156370981651], 3: [0.03181163315962101, 0.15048253865153075, 0.21041988173585413, 0.11898302001150912, 0.018744609324617238, 0], 4: [0.07367554890000173, 0.27953132593834895, 0.01851052008030931, 0.12605342929836721], 5: [0, 1.0, 0.062102847326327724, 0.13844843271571292], 6: [0, 0.0992474728410012]}","[5, 1, 2]"
22,"{4: [0.08677938678782227, 0.23768066479347608, 0.36969273228404925], 3: [0.2595782126750084, 0.224220547996204, 0.41562311630443477], 2: [0.5117502895587565, 0.16255026657511523, 0.5946450628658408], 1: [0.9646973216393135, 0.5190271886094628], 5: [0.06595751837377474], 0: [0.7326069571063966]}","{4: [0.899033178516643, 0.4730603389163745, 0.5594155366971725], 3: [0.4955256844548702, 0.46693262405260894, 0.8747266886196441], 2: [0.93128475536934, 0.4939629555320536, 0.8723289134713803], 1: [0.9101933362068111, 0.7590690944926815], 5: [0.5303488854855289], 0: [0.9182317862053501]}","{0: [0.00747710645686571], 1: [0.017967344789300295, 0.008839416666141141], 2: [0.019170727219374163, 0.035301688010051714, 0.01256717340795339, 0.07695156370981651], 3: [0.036589466655220775, 0.1110565132703955, 0, 0.10557958771591137, 0.06929256189357333, 0.016269521691194975], 4: [0.09652523272945682, 0.08841918989837799, 0.14976456373625774, 0, 0.05079799741283545, 0.03619737133375519], 5: [0, 1.0, 0, 0.1941878350091241, 0.08306605991122269, 0], 6: [0.5341473999970603, 0]}","[7, 1, 2]"
23,"{4: [0.11990407238450505, 0.3063926194398841, 0.37047092975621915], 3: [0.4315160982291451, 0.23719358476504415, 0.4362014615518628], 2: [0.33374755357031066, 0.0754785335449835, 0.5444904498934484, 0.07278320433280812], 1: [0.9173023743362271, 0.5190271886094628], 5: [0.0552676727486546], 0: [0.7326069571063966]}","{4: [0.9583846309745379, 0.42828453678002293, 0.6185230166067128], 3: [0.6538637301949067, 0.4667129985254521, 0.860792930220583], 2: [0.7818293563335607, 0.4711402499138814, 0.8451997996323197, 0.9458313882648671], 1: [0.8692239063841751, 0.7590690944926815], 5: [0.9040157840025764], 0: [0.9182317862053501]}","{0: [0.00747710645686571], 1: [0.017967344789300295, 0.008839416666141141], 2: [0.02349625878489896, 0.016968115583131053, 0.01256717340795339, 0.07695156370981651], 3: [0.060872916081016755, 0.1110565132703955, 0.14753143175808725, 0.15760284880027803, 0.07184737839028478, 0.01797398838018761, 0, 1.0], 4: [0.4018681545544658, 0.09438679951435985, 0.145268203206498, 0, 0.07595424859449228, 0.0361521340399596], 5: [0, 0.45953461032332943, 0.11671551181532545, 0, 0.06113573869689989, 0.443620062771887], 6: [0, 1.0]}","[10, 1, 2]"
24,"{3: [0.19193882444852914, 0.2722942111396915, 0.6256705365962413], 2: [0.3902305569182365, 0.5955465338451668, 0.03442080984643947], 1: [0.6195157063302138, 0.7086343721433919], 4: [0.2546138207236124], 0: [0.6419558238467548]}","{3: [0.5162842407830538, 0.6534054137794727, 0.8362183597614257], 2: [0.6531972746055915, 0.8641994353135127, 0.6175799087331884], 1: [0.565009647534189, 0.8438405456784989], 4: [0.6646419966311619], 0: [0.922477695593356]}","{0: [0.006896360933532993], 1: [0.02770408956738457, 0.008651964875473612], 2: [0.09287229786123706, 0.02413399826682881, 0.009519799262195297, 0.036614303866691504], 3: [0.0365470996947108, 0, 0.012883681593899297, 0.02956238219588096, 0.45955843814967884, 0], 4: [0.10140859635646446, 0, 0.030557015846563805, 0.16795796208015207, 0, 0.0392625918981879], 5: [0, 0.08031480092091943]}","[1, 1, 2]"
25,"{2: [0.08729961667240628, 0.3902305569182365, 0.8257474488983597, 0.4171566128384911], 3: [0.19193882444852914, 0.34475110809417847, 0.07456592243518104], 1: [0.6195157063302138, 0.5389207195991932], 0: [0.6419558238467548]}","{2: [0.9399963033416374, 0.6531972746055915, 0.7986449876305522, 0.6405171997249808], 3: [0.5162842407830538, 0.8353669440058159, 0.477840683826647], 1: [0.565009647534189, 0.8301857258936464], 0: [0.922477695593356]}","{0: [0.006896360933532993], 1: [0.02770408956738457, 0.008651964875473612], 2: [0.09287229786123706, 0.02413399826682881, 0.01328175932350238, 0.03554133261686731], 3: [0, 1.0, 0.0365470996947108, 0, 0.012539102509150654, 0.05603754560606375, 0.08635743283122364, 0.08334332609872212], 4: [0.10140859635646446, 0, 0.4201710213525, 0.03033617238223341, 0, 0.2804062429090387]}","[2, 1, 2]"
26,"{2: [0.08729961667240628, 0.4687513252616551, 0.8257474488983597, 0.4171566128384911], 3: [0.1958332995371156, 0.34475110809417847, 0.20432009978609522, 0.09494825132393928], 1: [0.6195157063302138, 0.5389207195991932], 0: [0.6419558238467548]}","{2: [0.9399963033416374, 0.6586966663540774, 0.7986449876305522, 0.6405171997249808], 3: [0.5134331617671445, 0.8353669440058159, 0.4572882144827773, 0.5268109260647615], 1: [0.565009647534189, 0.8301857258936464], 0: [0.922477695593356]}","{0: [0.006896360933532993], 1: [0.02770408956738457, 0.008651964875473612], 2: [0.09287229786123706, 0.02413399826682881, 0.01328175932350238, 0.03554133261686731], 3: [0, 1.0, 0.039655735366927035, 0.06611852476597416, 0.012539102509150654, 0.05603754560606375, 0.08635743283122364, 0.08334332609872212], 4: [0.107752277736419, 0, 0.4201710213525, 0.03033617238223341, 0.12864347029398743, 0, 0.40657886181326996, 0]}","[3, 1, 2]"
27,"{2: [0.08710848420270399, 0.2791439766254363, 0.8257474488983597, 0.4171566128384911], 3: [0.04958684457128652, 0.34475110809417847, 0.20432009978609522, 0.09494825132393928], 1: [0.6195157063302138, 0.5389207195991932], 0: [0.6419558238467548]}","{2: [0.9379382895516926, 0.5620060022883945, 0.7986449876305522, 0.6405171997249808], 3: [0.5264860320702416, 0.8353669440058159, 0.4572882144827773, 0.5268109260647615], 1: [0.565009647534189, 0.8301857258936464], 0: [0.922477695593356]}","{0: [0.006896360933532993], 1: [0.02770408956738457, 0.008651964875473612], 2: [0.09287229786123706, 0.02413399826682881, 0.01328175932350238, 0.03554133261686731], 3: [1.0, 0, 0.05415721509406634, 0.09509919690262582, 0.012539102509150654, 0.05603754560606375, 0.08635743283122364, 0.08334332609872212], 4: [0.38554450060472295, 0, 0.4201710213525, 0.03033617238223341, 0.12864347029398743, 0, 0.40657886181326996, 0]}","[5, 1, 2]"
28,"{3: [0.0742390997012141, 0.061771033442436785, 0.28534143535322376, 0.2856015224793025], 2: [0.5450367628961162, 0.42881024640788296, 0.785170877202321], 1: [0.40625285042891746, 0.5733566330893407], 4: [0.19922091767021588, 0.04444099521346593], 0: [0.6090751014664606]}","{3: [0.9093360975782933, 0.8853161598933276, 0.6638467812097579, 0.48868770879656376], 2: [0.5027455151758342, 0.5400517664486992, 0.7550234992245437], 1: [0.7584468656184695, 0.8265970490820296], 4: [0.5411352609195563, 0.9656036427208597], 0: [0.9816398233893324]}","{0: [0.006896360933532993], 1: [0.027006466832592772, 0.009207099863121586], 2: [0.07435289995500252, 0.04809987906584543, 0.013332623536730854, 0.11451176446227569], 3: [0.07069320214783291, 0, 0.17771682464712443, 0.06977285205081947, 0.013670678567033127, 0.042359666082126046], 4: [0, 0.5633686086300737, 1.0, 0, 0.04746234744381397, 0.03560252968153031, 0.16885731741105062, 0.09802192431599047], 5: [0, 0.12958486848953235, 0.40823563305974736, 0]}","[7, 1, 2]"
29,"{3: [0.0959757038416635, 0.05557739463141067, 0.3003627765754317, 0.07476159840050886], 2: [0.3976039950895277, 0.4262310875375643, 0.576259269720661], 1: [0.38918330223636466, 0.5749575804699613], 5: [0.12915890036170052], 4: [0.23859727000895975, 0.056741422345938736], 0: [0.5977308852348713]}","{3: [0.8955480506541292, 0.7763931156279319, 0.6638767787792704, 0.9578370944265047], 2: [0.5006934331937212, 0.5438053078602683, 0.7074350354929485], 1: [0.7460946882167042, 0.8260884108727216], 5: [0.49382211632132367], 4: [0.5475667324453969, 0.8999567428397732], 0: [0.9762123232870207]}","{0: [0.006896360933532993], 1: [0.026363286971401497, 0.009380960345589464], 2: [0.07399388841616152, 0.049278269338768096, 0.013510776230217498, 0.11451176446227569], 3: [0.10716979817170122, 0.28993777139220367, 0.24215994841244254, 0.07158408995739321, 0.01603904623782364, 0.039256570510135994], 4: [0, 1.0, 1.0, 0, 0.04297587935853952, 0.06304905518780127, 0.23510992072147305, 0], 5: [0.12202892483411037, 0.2178710491095701, 0.9833333333333333, 0], 6: [0.39434226980623727, 0]}","[10, 1, 2]"
