,lda_class_all,var_class_all,dist_class_all,can
10,"{4: [0.05137857315616092, 0.09435244129666286, 0.07109869997495327], 3: [0.4991523356271755, 0.3031645336752905, 0.1828358826395027, 0.148222130265139], 2: [1.0533481157816909, 0.07967658214776992, 0.5432822615373682], 1: [0.5399693595719323, 0.6872792487597162], 0: [0.6709140452715364]}","{4: [0.9319096194265848, 0.5431732568107734, 0.5110223703457044], 3: [0.6896403348043173, 0.6498651621127034, 0.5543674699918658, 0.5529834656718855], 2: [0.7153888329381011, 0.6054116624088921, 0.8935280615862384], 1: [0.747533238377118, 0.8591942896793727], 0: [0.9466766374629911]}","{0: [0.0069997066595414], 1: [0.0186092605877355, 0.009077907031717842], 2: [0.02635427937340904, 0.07741872220556963, 0.010021311014850383, 0.0543528089319059], 3: [0.019112210541211545, 0.043477088059839596, 0, 0.4086085807970065, 0.022273402227950528, 0.022504941818127042], 4: [0.026970260079897015, 0.9999999999999999, 0, 0.09825657821288433, 0.07788611761478934, 0.10713451789995997, 0.22795589569483604, 0.0893100843150003], 5: [0, 0.2398197872032444, 0.46403440975054927, 0, 0.48170526952657383, 0]}","[7, 1, 2]"
11,"{4: [0.11558326603943142, 0.09138840591594245, 0.0816848974017729], 3: [0.2493446601663005, 0.2691770268209592, 0.10985680590378902, 0.09671062076073497, 0.3023761163712086], 2: [0.991781401505491, 0.07967658214776992, 0.22585710238943005, 0.2735644896775563], 1: [0.5314715727496581, 0.6037737016931891], 0: [0.6693397464101256]}","{4: [0.9542745416901416, 0.4792035709866842, 0.8560791260968882], 3: [0.6336062102303, 0.6952363421756542, 0.4815803199245767, 0.9174431244419311, 0.5389551758344432], 2: [0.826987051956409, 0.6054116624088921, 0.5803224087426241, 0.7154311406350583], 1: [0.7477432651321674, 0.8309464505594788], 0: [0.9430347849048997]}","{0: [0.0069997066595414], 1: [0.018612331491124973, 0.009068968798580709], 2: [0.02680500375248625, 0.07741872220556963, 0.015959129758131175, 0.018632058291482616], 3: [0.024989198781946324, 0.04065440551330841, 0, 0.4086085807970065, 0.05082389849955193, 0.05513925137824238, 0.04863882566460095, 0.13881306094249551], 4: [0.07544803409549897, 0.12203976872571817, 0.10580931245428586, 0, 0, 0.21148378574033871, 0.2354842948124774, 0, 0.23448222433427338, 0.0954174619047166], 5: [0, 0.3545542995650134, 0.42079832765192543, 0, 0, 1.0]}","[10, 1, 2]"
12,"{3: [0.17988383219111034, 0.31287317959891087], 2: [0.6875350946678314, 0.45935827956956615], 1: [0.5567850494341543, 0.5821946661164256], 0: [0.7118788711873315]}","{3: [0.5795437073230031, 0.7104128751826126], 2: [0.7517499970321476, 0.7749164606961205], 1: [0.7381581340158301, 0.9072712501304573], 0: [0.9382209101284693]}","{0: [0.006737603734278664], 1: [0.01844291167684777, 0.007550738924814985], 2: [0.03400757355880914, 0.029564760594391917, 0.009631390776629393, 0.03641816861658409], 3: [0, 0.031247262876585757, 0.06734234192097109, 0.016150312804651304], 4: [0.10001626643025005, 0, 0.04094767625511188, 0.06446799483891591]}","[1, 1, 2]"
13,"{3: [0.17845165324603862, 0.2854007935445542], 2: [0.39583963242719694, 0.8374457977298557, 0.5167878620899018], 1: [0.5567850494341543, 0.4828387523426127], 4: [0.3203895368669603], 0: [0.7118788711873315]}","{3: [0.452800893396295, 0.7634606174281287], 2: [0.8126584571103485, 0.7684676021658768, 0.8449997310154063], 1: [0.7381581340158301, 0.8971093384843797], 4: [0.5936491163051895], 0: [0.9382209101284693]}","{0: [0.006737603734278664], 1: [0.01844291167684777, 0.007550738924814985], 2: [0.03400757355880914, 0.029564760594391917, 0.01450751238102103, 0.017733064527027085], 3: [0.052856574382902054, 0, 0.01261548569061371, 0.14033422826489866, 0.10298686074300631, 0.0293074981725688], 4: [0.1377571856154009, 0, 0.03352653488428585, 0], 5: [0.060156127920118034, 0]}","[2, 1, 2]"
14,"{3: [0.17845165324603862, 0.2854007935445542], 2: [0.39583963242719694, 0.8374457977298557, 0.5167878620899018], 1: [0.5567850494341543, 0.4828387523426127], 4: [0.3616796191720892], 0: [0.7118788711873315]}","{3: [0.452800893396295, 0.7634606174281287], 2: [0.8126584571103485, 0.7684676021658768, 0.8449997310154063], 1: [0.7381581340158301, 0.8971093384843797], 4: [0.5600599689402264], 0: [0.9382209101284693]}","{0: [0.006737603734278664], 1: [0.01844291167684777, 0.007550738924814985], 2: [0.03400757355880914, 0.029564760594391917, 0.01450751238102103, 0.017733064527027085], 3: [0.052856574382902054, 0, 0.01261548569061371, 0.14033422826489866, 0.10298686074300631, 0.0293074981725688], 4: [0.1377571856154009, 0, 0.03352653488428585, 0], 5: [0.054964574940936296, 0.38051609383174967]}","[3, 1, 2]"
15,"{3: [0.17879941379311332, 0.29963677079975676], 2: [0.5055622387637357, 0.7886941573861694, 0.5167878620899018], 1: [0.5567850494341543, 0.4828387523426127], 4: [0.3166036686429284], 0: [0.7118788711873315]}","{3: [0.5442201314689226, 0.7607599364257228], 2: [0.6387471289336886, 0.8514983022966329, 0.8449997310154063], 1: [0.7381581340158301, 0.8971093384843797], 4: [0.5666454864896958], 0: [0.9382209101284693]}","{0: [0.006737603734278664], 1: [0.01844291167684777, 0.007550738924814985], 2: [0.03400757355880914, 0.029564760594391917, 0.01450751238102103, 0.017733064527027085], 3: [0.04537913232899502, 0.11807174411834884, 0.013568185965136537, 0.09726777475789758, 0.10298686074300631, 0.0293074981725688], 4: [0.1365314470870563, 0, 0.03407362784725433, 0], 5: [0.06306732313773737, 0.4387321129373522]}","[5, 1, 2]"
16,"{3: [0.23422275355563033, 0.2224938243688688, 0.30718549428972297, 0.24379233449916682], 2: [0.407416877205467, 0.5537919672636025, 0.4300542517911963], 1: [0.5567850494341543, 0.4828387523426127], 0: [0.7118788711873315]}","{3: [0.5838322698627375, 0.6534227548314132, 0.5368162712036127, 0.5068769895220953], 2: [0.6149443307321789, 0.8435306264685619, 0.8719515740387045], 1: [0.7381581340158301, 0.8971093384843797], 0: [0.9382209101284693]}","{0: [0.006737603734278664], 1: [0.01844291167684777, 0.007550738924814985], 2: [0.03400757355880914, 0.029564760594391917, 0.01450751238102103, 0.017733064527027085], 3: [0.05262949696663967, 0.12228215430974379, 0.021649504552628183, 0.07154665409327311, 0.10742814611449, 0.03575121987507068], 4: [0.12822318426857193, 0, 0.06659938625289165, 0.3465981004830207, 0.1299297974445377, 0, 0.23994344236172782, 0]}","[7, 1, 2]"
17,"{3: [0.23422275355563033, 0.1242927448267287, 0.2062412303795905, 0.07239037074581783, 0.21822795764361055], 2: [0.407416877205467, 0.4534207349032333, 0.2485536018577265], 1: [0.5567850494341543, 0.4828387523426127], 4: [0.11627935334385021], 0: [0.7118788711873315]}","{3: [0.5838322698627375, 0.4799159605826553, 0.5329528623688808, 0.9599119713873703, 0.5218658586138735], 2: [0.6149443307321789, 0.7958546392295247, 0.5949505424569517], 1: [0.7381581340158301, 0.8971093384843797], 4: [0.8512407740829061], 0: [0.9382209101284693]}","{0: [0.006737603734278664], 1: [0.01844291167684777, 0.007550738924814985], 2: [0.03400757355880914, 0.029564760594391917, 0.01450751238102103, 0.017733064527027085], 3: [0.05262949696663967, 0.12228215430974379, 0.02939682303068841, 0.05157707646498075, 0.05476337598261802, 0.07536917931775874], 4: [0.12822318426857193, 0, 0.15842934693496338, 0.16388969473513254, 0.1365998397681609, 0, 0.45832035251892195, 0, 0, 0.18722772137505528], 5: [1.0, 0]}","[10, 1, 2]"
18,"{3: [0.05215429719262323, 0.029875965643570795, 0.44384889978393977], 2: [0.2157048143210227, 0.34500845098835553, 0.7397916427066793], 1: [1.0705143980023315, 0.522832758334893], 5: [0.04723262508065894], 4: [0.34353091346038994], 0: [0.768544780844581]}","{3: [0.6714632543155976, 0.582038163427157, 0.8074742019200537], 2: [0.7611218705661373, 0.7014862132615759, 0.8947081177934633], 1: [0.8658750916179064, 0.7558136063310984], 5: [0.6813816448519875], 4: [0.8189512285906144], 0: [0.9236565320196337]}","{0: [0.00747710645686571], 1: [0.016889836601735993, 0.00853769126147078], 2: [0.01615217752463789, 0.016968115583131053, 0.011991854154051311, 0.07654369771902532], 3: [0.061393252508443, 0.15048253865153075, 0, 0.03286212826195403, 0, 0.013898516279879166], 4: [0.4018681545544658, 0, 0, 0.4769308317699983, 0.08114883529967905, 0.023720311457662662], 5: [0, 0.05597772713370294], 6: [0, 0.48364799712944445]}","[1, 1, 2]"
19,"{2: [0.2157048143210227, 0.0754785335449835, 0.7397916427066793], 1: [1.0705143980023315, 0.522832758334893], 4: [0.11892482540209143, 0.34353091346038994], 5: [0.04723262508065894], 3: [0.44384889978393977], 0: [0.768544780844581]}","{2: [0.7611218705661373, 0.4711402499138814, 0.8947081177934633], 1: [0.8658750916179064, 0.7558136063310984], 4: [0.48111692835391184, 0.8189512285906144], 5: [0.6813816448519875], 3: [0.8074742019200537], 0: [0.9236565320196337]}","{0: [0.00747710645686571], 1: [0.016889836601735993, 0.00853769126147078], 2: [0.01615217752463789, 0.016968115583131053, 0.011991854154051311, 0.07654369771902532], 3: [0.061393252508443, 0.15048253865153075, 0.14753143175808725, 0.15760284880027803, 0, 0.013898516279879166], 4: [0.08114883529967905, 0.023720311457662662], 5: [0.24609942461786896, 0, 0, 0.05597772713370294], 6: [0, 0.48364799712944445]}","[2, 1, 2]"
