,describe_tree,can,f1_score1,roc_auc,recall,prec,acc,score_arr,depth,num_node,score_train
0,"{split_feature:attribute_11,split_value:0.16766666666666669,gini_value:0.33837293628592957,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_45,split_value:0.1586,gini_value:0.16465119790932917,train_num_sample:59,depth:1,left_tree:{split_feature:attribute_52,split_value:0.0204,gini_value:-0.03222251217339007,train_num_sample:42,depth:2,left_tree:{leaf_value:1.0,train_num_sample:40,depth:3},right_tree:{leaf_value:1.0,train_num_sample:2,depth:3}},right_tree:{split_feature:attribute_20,split_value:0.4797,gini_value:0.13066565120292173,train_num_sample:17,depth:2,left_tree:{split_feature:attribute_52,split_value:0.0173,gini_value:0.0023913043478260877,train_num_sample:10,depth:3,left_tree:{leaf_value:1.0,train_num_sample:8,depth:4},right_tree:{leaf_value:0.0,train_num_sample:2,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:7,depth:3}}},right_tree:{split_feature:attribute_16,split_value:0.675709090909091,gini_value:0.26771707435885195,train_num_sample:107,depth:1,left_tree:{split_feature:attribute_26,split_value:0.2736,gini_value:0.17058955339260648,train_num_sample:87,depth:2,left_tree:{leaf_value:1.0,train_num_sample:3,depth:3},right_tree:{split_feature:attribute_9,split_value:0.0955,gini_value:0.13585320881633486,train_num_sample:84,depth:3,left_tree:{split_feature:attribute_22,split_value:0.7676,gini_value:0.09057948444352212,train_num_sample:10,depth:4,left_tree:{leaf_value:1.0,train_num_sample:7,depth:5},right_tree:{leaf_value:0.0,train_num_sample:3,depth:5}},right_tree:{split_feature:attribute_20,split_value:0.9399,gini_value:0.0220149890765688,train_num_sample:74,depth:4,left_tree:{leaf_value:0.0,train_num_sample:72,depth:5},right_tree:{leaf_value:1.0,train_num_sample:2,depth:5}}}},right_tree:{split_feature:attribute_55,split_value:0.018,gini_value:0.04390803013086675,train_num_sample:20,depth:2,left_tree:{split_feature:attribute_46,split_value:0.0176,gini_value:-0.00012946110622557552,train_num_sample:16,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:1.0,train_num_sample:14,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:4,depth:3}}}}","[1, 2]",0.6153846153846154,0.640909090909091,0.6,0.631578947368421,0.6428571428571429,"[[12  8]
 [ 7 15]]",5,13,0.9698795180722891
1,"{split_feature:attribute_11,split_value:0.19699999999999993,gini_value:0.34226107559483043,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_47,split_value:0.1634,gini_value:0.2212125133097235,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_20,split_value:0.8261,gini_value:0.12886234034210034,train_num_sample:61,depth:2,left_tree:{split_feature:attribute_44,split_value:0.0255,gini_value:-0.02854724856725384,train_num_sample:48,depth:3,left_tree:{leaf_value:1.0,train_num_sample:2,depth:4},right_tree:{leaf_value:1.0,train_num_sample:46,depth:4}},right_tree:{split_feature:attribute_44,split_value:0.1459,gini_value:0.06679401621380703,train_num_sample:13,depth:3,left_tree:{leaf_value:1.0,train_num_sample:7,depth:4},right_tree:{leaf_value:0.0,train_num_sample:6,depth:4}}},right_tree:{split_feature:attribute_28,split_value:0.365,gini_value:0.004473262032085561,train_num_sample:10,depth:2,left_tree:{leaf_value:1.0,train_num_sample:2,depth:3},right_tree:{leaf_value:0.0,train_num_sample:8,depth:3}}},right_tree:{split_feature:attribute_52,split_value:0.0038,gini_value:0.2736922952785672,train_num_sample:95,depth:1,left_tree:{leaf_value:1.0,train_num_sample:5,depth:2},right_tree:{split_feature:attribute_6,split_value:0.2431,gini_value:0.2187015134218755,train_num_sample:90,depth:2,left_tree:{split_feature:attribute_30,split_value:0.1354,gini_value:0.17832083013433597,train_num_sample:86,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:83,depth:4}},right_tree:{leaf_value:1.0,train_num_sample:4,depth:3}}}}","[1, 2]",0.6842105263157895,0.7113636363636363,0.65,0.7222222222222222,0.7142857142857143,"[[13  7]
 [ 5 17]]",4,10,0.927710843373494
2,"{split_feature:attribute_12,split_value:0.22503333333333334,gini_value:0.3506072471881975,train_num_sample:166,depth:0,left_tree:{split_feature:attribute_21,split_value:0.7852,gini_value:0.20411611370042898,train_num_sample:69,depth:1,left_tree:{split_feature:attribute_44,split_value:0.2998,gini_value:0.04573469816373158,train_num_sample:52,depth:2,left_tree:{leaf_value:1.0,train_num_sample:44,depth:3},right_tree:{split_feature:attribute_56,split_value:0.0065,gini_value:0.0010526315789473688,train_num_sample:8,depth:3,left_tree:{leaf_value:0.0,train_num_sample:4,depth:4},right_tree:{leaf_value:1.0,train_num_sample:4,depth:4}}},right_tree:{split_feature:attribute_39,split_value:0.1694,gini_value:0.058484247878255215,train_num_sample:17,depth:2,left_tree:{leaf_value:1.0,train_num_sample:7,depth:3},right_tree:{leaf_value:0.0,train_num_sample:10,depth:3}}},right_tree:{split_feature:attribute_27,split_value:0.8345,gini_value:0.2838824840618467,train_num_sample:97,depth:1,left_tree:{split_feature:attribute_58,split_value:0.0067,gini_value:0.2774381551178664,train_num_sample:50,depth:2,left_tree:{leaf_value:1.0,train_num_sample:15,depth:3},right_tree:{split_feature:attribute_59,split_value:0.0069999999999999,gini_value:0.15837091186515492,train_num_sample:35,depth:3,left_tree:{split_feature:attribute_14,split_value:0.3335,gini_value:0.0028791773778920303,train_num_sample:10,depth:4,left_tree:{leaf_value:1.0,train_num_sample:7,depth:5},right_tree:{leaf_value:0.0,train_num_sample:3,depth:5}},right_tree:{split_feature:attribute_5,split_value:0.0246,gini_value:-0.0072435950993347655,train_num_sample:25,depth:4,left_tree:{leaf_value:1.0,train_num_sample:2,depth:5},right_tree:{leaf_value:0.0,train_num_sample:23,depth:5}}}},right_tree:{leaf_value:0.0,train_num_sample:47,depth:2}}}","[1, 2]",0.6046511627906976,0.602974828375286,0.6842105263157895,0.5416666666666666,0.5952380952380952,"[[13  6]
 [11 12]]",4,11,0.9698795180722891
3,"{split_feature:attribute_11,split_value:0.19780606060606057,gini_value:0.360257248713964,train_num_sample:167,depth:0,left_tree:{split_feature:attribute_4,split_value:0.0505,gini_value:0.24144361183500718,train_num_sample:71,depth:1,left_tree:{split_feature:attribute_28,split_value:0.9785,gini_value:0.07587247415189642,train_num_sample:52,depth:2,left_tree:{leaf_value:1.0,train_num_sample:50,depth:3},right_tree:{leaf_value:0.0,train_num_sample:2,depth:3}},right_tree:{split_feature:attribute_46,split_value:0.0779,gini_value:0.14931126337774214,train_num_sample:19,depth:2,left_tree:{leaf_value:1.0,train_num_sample:5,depth:3},right_tree:{split_feature:attribute_59,split_value:0.0066,gini_value:0.04040155906230388,train_num_sample:14,depth:3,left_tree:{leaf_value:1.0,train_num_sample:3,depth:4},right_tree:{leaf_value:0.0,train_num_sample:11,depth:4}}}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.27707254654716695,train_num_sample:96,depth:1,left_tree:{split_feature:attribute_45,split_value:0.2611,gini_value:0.33941706396195015,train_num_sample:53,depth:2,left_tree:{split_feature:attribute_37,split_value:0.4609,gini_value:0.28500974389956096,train_num_sample:41,depth:3,left_tree:{split_feature:attribute_52,split_value:0.0067,gini_value:0.21073299680671603,train_num_sample:28,depth:4,left_tree:{leaf_value:1.0,train_num_sample:6,depth:5},right_tree:{split_feature:attribute_18,split_value:0.2008,gini_value:0.11097401804121539,train_num_sample:22,depth:5,left_tree:{leaf_value:1.0,train_num_sample:2,depth:6},right_tree:{leaf_value:0.0,train_num_sample:20,depth:6}}},right_tree:{leaf_value:1.0,train_num_sample:13,depth:4}},right_tree:{leaf_value:0.0,train_num_sample:12,depth:3}},right_tree:{split_feature:attribute_20,split_value:0.8702,gini_value:-0.04536638773408693,train_num_sample:43,depth:2,left_tree:{leaf_value:0.0,train_num_sample:41,depth:3},right_tree:{leaf_value:1.0,train_num_sample:2,depth:3}}}}","[1, 2]",0.7894736842105263,0.8038277511961722,0.7894736842105263,0.7894736842105263,0.8048780487804879,"[[15  4]
 [ 4 18]]",6,12,0.9580838323353293
4,"{split_feature:attribute_11,split_value:0.17842121212121215,gini_value:0.35158279670588605,train_num_sample:167,depth:0,left_tree:{split_feature:attribute_1,split_value:0.0368,gini_value:0.18631264437610107,train_num_sample:64,depth:1,left_tree:{split_feature:attribute_17,split_value:0.3943,gini_value:0.11758322524042582,train_num_sample:59,depth:2,left_tree:{leaf_value:1.0,train_num_sample:41,depth:3},right_tree:{split_feature:attribute_45,split_value:0.1556,gini_value:0.22571059004410426,train_num_sample:18,depth:3,left_tree:{split_feature:attribute_44,split_value:0.1901,gini_value:0.07123656614948363,train_num_sample:13,depth:4,left_tree:{leaf_value:1.0,train_num_sample:11,depth:5},right_tree:{leaf_value:0.0,train_num_sample:2,depth:5}},right_tree:{leaf_value:0.0,train_num_sample:5,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:5,depth:2}},right_tree:{split_feature:attribute_27,split_value:0.8145,gini_value:0.2940890981934105,train_num_sample:103,depth:1,left_tree:{split_feature:attribute_51,split_value:0.0154,gini_value:0.33527494571143934,train_num_sample:56,depth:2,left_tree:{split_feature:attribute_7,split_value:0.1438,gini_value:0.27905421862102187,train_num_sample:30,depth:3,left_tree:{split_feature:attribute_45,split_value:0.1173,gini_value:0.20951708378780973,train_num_sample:18,depth:4,left_tree:{leaf_value:0.0,train_num_sample:6,depth:5},right_tree:{split_feature:attribute_18,split_value:0.5279,gini_value:0.0757194127449216,train_num_sample:12,depth:5,left_tree:{leaf_value:0.0,train_num_sample:4,depth:6},right_tree:{leaf_value:1.0,train_num_sample:8,depth:6}}},right_tree:{leaf_value:1.0,train_num_sample:12,depth:4}},right_tree:{split_feature:attribute_21,split_value:0.5605,gini_value:0.10759058745087284,train_num_sample:26,depth:3,left_tree:{split_feature:attribute_12,split_value:0.2237,gini_value:0.00018181818181818015,train_num_sample:8,depth:4,left_tree:{leaf_value:1.0,train_num_sample:4,depth:5},right_tree:{leaf_value:0.0,train_num_sample:4,depth:5}},right_tree:{leaf_value:0.0,train_num_sample:18,depth:4}}},right_tree:{leaf_value:0.0,train_num_sample:47,depth:2}}}","[1, 2]",0.5882352941176471,0.6495215311004784,0.5263157894736842,0.6666666666666666,0.6585365853658537,"[[10  9]
 [ 5 17]]",6,13,0.9760479041916168
