,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can,score_train
0,0.9375,0.9352226720647774,0.9473684210526316,0.9285714285714286,1.0,0.9,0.9375,"[[27  0]
 [ 3 18]]",1,2,"[1, 1, 2]",0.9897959183673469
1,0.9375,0.9352226720647774,0.9473684210526316,0.9285714285714286,1.0,0.9,0.9375,"[[27  0]
 [ 3 18]]",1,2,"[2, 1, 2]",0.9897959183673469
2,0.9375,0.9352226720647774,0.9473684210526316,0.9285714285714286,1.0,0.9,0.9375,"[[27  0]
 [ 3 18]]",2,3,"[3, 1, 2]",0.9897959183673469
3,0.9375,0.9352226720647774,0.9473684210526316,0.9285714285714286,1.0,0.9,0.9375,"[[27  0]
 [ 3 18]]",2,3,"[5, 1, 2]",0.9897959183673469
4,0.9375,0.9352226720647774,0.9473684210526316,0.9285714285714286,1.0,0.9,0.9375,"[[27  0]
 [ 3 18]]",2,4,"[7, 1, 2]",0.9897959183673469
5,0.9375,0.9352226720647774,0.9473684210526316,0.9285714285714286,1.0,0.9,0.9375,"[[27  0]
 [ 3 18]]",2,4,"[10, 1, 2]",0.9897959183673469
