,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can,score_train
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,"[1, 1, 2]",0.9897435897435898
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,5,"[2, 1, 2]",0.9897435897435898
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,4,"[3, 1, 2]",0.9897435897435898
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,6,"[5, 1, 2]",0.9948717948717949
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",4,6,"[7, 1, 2]",0.9846153846153847
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[28  0]
 [ 0 21]]",3,5,"[10, 1, 2]",0.9846153846153847
