,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can
0,0.7020905923344948,0.699706857409764,0.674964438122333,0.7002829207405865,0.6705263157894737,0.6819180303700427,0.7020905923344947,"[[13.0, 6.4], [6.0, 16.2]]",5.0,10.0,"[1, 1, 2]"
1,0.7111498257839721,0.7069142564079488,0.677358107589173,0.7064894944872062,0.6489473684210526,0.7184529196293903,0.7111498257839721,"[[12.6, 6.8], [5.2, 17.0]]",5.0,10.4,"[2, 1, 2]"
2,0.7498257839721254,0.7455037881010421,0.7194843168527378,0.7456521739130434,0.7,0.7540168294038263,0.7498257839721254,"[[13.6, 5.8], [4.6, 17.6]]",5.0,10.8,"[3, 1, 2]"
3,0.7209059233449477,0.7177847145833256,0.6920958901318336,0.7181287705429582,0.6805263157894736,0.7089349376114081,0.7209059233449477,"[[13.2, 6.2], [5.4, 16.8]]",4.6,10.6,"[7, 1, 2]"
4,0.7400696864111499,0.7378441934707158,0.7228257315404891,0.740091533180778,0.7410526315789474,0.7116845473367213,0.7400696864111498,"[[14.4, 5.0], [5.8, 16.4]]",4.4,10.4,"[10, 1, 2]"
5,0.7739837398373984,0.7706408156348598,0.75258293701005,0.7738714374869982,0.7631578947368421,0.7574266961109066,0.7739837398373984,"[[14.8, 4.6], [4.8, 17.4]]",4.6,12.4,"[20, 1, 2]"
6,0.7788617886178862,0.7784734522425958,0.77209237916555,0.7810245475348451,0.8047368421052632,0.7449416030194062,0.7788617886178862,"[[15.6, 3.8], [5.4, 16.8]]",4.2,14.8,"[50, 1, 2]"
7,0.7164924506387921,0.7076394661602246,0.6685964912280701,0.7126211774495527,0.6410526315789474,0.7395721187025536,0.7164924506387921,"[[12.4, 7.0], [4.8, 17.4]]",4.2,13.0,"[100, 1, 2]"
