,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can
0,0.6829268292682927,0.68009335766692,0.6590226355112236,0.6819107551487414,0.6594736842105263,0.6653508771929825,0.6829268292682926,"[[12.8, 6.6], [6.6, 15.6]]",5.2,12.0,"[1, 0.01, 0.01, 1, 2]"
1,0.6831591173054588,0.6799633389442239,0.6563910565638552,0.6817193675889328,0.65,0.6703216374269005,0.6831591173054588,"[[12.6, 6.8], [6.4, 15.8]]",5.0,11.8,"[1, 0.02, 0.02, 1, 2]"
2,0.7311265969802555,0.7248438425039634,0.6909746372583343,0.7255211150405658,0.6589473684210525,0.7379814921920185,0.7311265969802555,"[[12.8, 6.6], [4.6, 17.6]]",5.0,11.2,"[2, 0.01, 0.01, 1, 2]"
3,0.7358885017421603,0.7314277610330242,0.7031507823613087,0.731501976284585,0.6799999999999999,0.7356005398110661,0.7358885017421603,"[[13.2, 6.2], [4.8, 17.4]]",5.6,11.8,"[2, 0.02, 0.02, 1, 2]"
4,0.7598141695702672,0.7514481782338924,0.7116454116454116,0.752398585396297,0.6589473684210525,0.794498556998557,0.7598141695702672,"[[12.8, 6.6], [3.4, 18.8]]",4.8,11.8,"[3, 0.01, 0.01, 1, 2]"
5,0.7455284552845529,0.7376798785531792,0.6959824250146831,0.7380507593093405,0.6389473684210526,0.774608088849575,0.7455284552845529,"[[12.4, 7.0], [3.6, 18.6]]",4.8,11.4,"[3, 0.02, 0.02, 1, 2]"
6,0.7598141695702672,0.7523049549640716,0.712188954124438,0.7522071978364885,0.6494736842105263,0.7993629908103592,0.7598141695702672,"[[12.6, 6.8], [3.2, 19.0]]",4.6,12.6,"[5, 0.01, 0.01, 1, 2]"
7,0.7550522648083624,0.7460343460343459,0.7037089037089037,0.747398585396297,0.6489473684210526,0.7903318903318903,0.7550522648083624,"[[12.6, 6.8], [3.4, 18.8]]",4.8,12.8,"[5, 0.02, 0.02, 1, 2]"
8,0.7350754936120789,0.7277542519908098,0.6894052184374765,0.7286249219887664,0.6473684210526316,0.7510275689223058,0.7350754936120789,"[[12.6, 6.8], [4.2, 18.0]]",4.6,13.6,"[10, 0.01, 0.01, 1, 2]"
9,0.7403019744483159,0.7310445775067533,0.6857946549990795,0.7325244435198669,0.6278947368421053,0.7714285714285715,0.7403019744483159,"[[12.2, 7.2], [3.6, 18.6]]",4.6,12.8,"[10, 0.02, 0.02, 1, 2]"
10,0.7931475029036005,0.7890664655723029,0.7641723719868778,0.7883856875390057,0.7305263157894737,0.8098765012077704,0.7931475029036005,"[[14.2, 5.2], [3.4, 18.8]]",4.4,15.2,"[20, 0.01, 0.01, 1, 2]"
11,0.7787456445993032,0.7720623777103616,0.7342723395664571,0.7711067193675889,0.6599999999999999,0.832934712346477,0.7787456445993032,"[[12.8, 6.6], [2.6, 19.6]]",4.6,14.0,"[20, 0.02, 0.02, 1, 2]"
12,0.7595818815331009,0.7546478588987519,0.725211242284413,0.755144580819638,0.6905263157894737,0.7730116288939818,0.7595818815331009,"[[13.4, 6.0], [4.0, 18.2]]",4.4,16.2,"[50, 0.01, 0.01, 1, 2]"
13,0.7689895470383276,0.7641789664468591,0.7378005891635734,0.7646182650301643,0.7094736842105263,0.7798370257193786,0.7689895470383273,"[[13.8, 5.6], [4.0, 18.2]]",4.6,16.4,"[50, 0.02, 0.02, 1, 2]"
