,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can
0,0.7020905923344948,0.699706857409764,0.674964438122333,0.7002829207405865,0.6705263157894737,0.6819180303700427,0.7020905923344947,"[[13.0, 6.4], [6.0, 16.2]]",5.0,10.0,"[1, 1, 2]"
1,0.7116144018583044,0.705548484142301,0.6686090980208628,0.7057125026003745,0.6284210526315789,0.7215737203972499,0.7116144018583044,"[[12.2, 7.2], [4.8, 17.4]]",5.0,10.6,"[2, 1, 2]"
2,0.7356562137049942,0.73103406054736,0.7004571466130973,0.7307842729353026,0.6694736842105262,0.7416496163682864,0.7356562137049942,"[[13.0, 6.4], [4.6, 17.6]]",5.0,11.0,"[3, 1, 2]"
3,0.7116144018583044,0.7072120780419197,0.6736689630807278,0.7066933638443935,0.6394736842105263,0.7143790849673203,0.7116144018583044,"[[12.4, 7.0], [5.0, 17.2]]",5.0,11.4,"[5, 1, 2]"
4,0.6772357723577236,0.667313858523536,0.621658888490008,0.6712148949448721,0.5957894736842105,0.6668333333333334,0.6772357723577236,"[[11.6, 7.8], [5.6, 16.6]]",5.2,13.0,"[7, 1, 2]"
5,0.7401858304297327,0.7377475422936912,0.7175252788089759,0.7388589556896193,0.7121052631578947,0.7294191919191919,0.7401858304297327,"[[13.8, 5.6], [5.2, 17.0]]",4.8,14.4,"[10, 1, 2]"
