,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can,score_train
0,0.68,0.6225970043637221,0.7697841726618705,0.6238095238095237,0.7642857142857142,0.7753623188405797,0.68,"[[107  33]
 [ 31  29]]",13,79,"[1, 1, 2]",0.89875
1,0.7100000000000001,0.647887323943662,0.795774647887324,0.6452380952380952,0.8071428571428572,0.7847222222222222,0.71,"[[113  27]
 [ 31  29]]",12,103,"[2, 1, 2]",0.91625
2,0.69,0.6112852664576802,0.7862068965517242,0.6071428571428572,0.8142857142857143,0.76,0.69,"[[114  26]
 [ 36  24]]",13,116,"[3, 1, 2]",0.90375
3,0.68,0.5841995841995842,0.7837837837837838,0.5809523809523811,0.8285714285714286,0.7435897435897436,0.68,"[[116  24]
 [ 40  20]]",14,154,"[5, 1, 2]",0.89375
4,0.755,0.6874102899429047,0.832764505119454,0.6773809523809523,0.8714285714285714,0.7973856209150327,0.755,"[[122  18]
 [ 31  29]]",13,157,"[7, 1, 2]",0.885
5,0.72,0.6527777777777777,0.8055555555555555,0.6476190476190476,0.8285714285714286,0.7837837837837838,0.72,"[[116  24]
 [ 32  28]]",15,164,"[10, 1, 2]",0.87125
