,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can,score_train
0,0.7,0.6238244514106582,0.793103448275862,0.6190476190476191,0.8214285714285714,0.7666666666666667,0.7,"[[115  25]
 [ 35  25]]",16,66,"[1, 1, 2]",0.90375
1,0.65,0.561128526645768,0.7586206896551724,0.5595238095238095,0.7857142857142857,0.7333333333333333,0.65,"[[110  30]
 [ 40  20]]",16,93,"[2, 1, 2]",0.91
2,0.715,0.6319612590799031,0.8067796610169491,0.625,0.85,0.7677419354838709,0.715,"[[119  21]
 [ 36  24]]",12,88,"[3, 1, 2]",0.8775
3,0.675,0.5991489624125066,0.7735191637630662,0.5964285714285713,0.7928571428571428,0.7551020408163265,0.675,"[[111  29]
 [ 36  24]]",17,132,"[5, 1, 2]",0.91375
4,0.67,0.5712058212058212,0.7770270270270271,0.569047619047619,0.8214285714285714,0.7371794871794872,0.67,"[[115  25]
 [ 41  19]]",14,152,"[7, 1, 2]",0.89625
5,0.6,0.4865870876652547,0.727891156462585,0.4904761904761904,0.7642857142857142,0.6948051948051948,0.6,"[[107  33]
 [ 47  13]]",17,147,"[10, 1, 2]",0.8775
