,f1_score1,f1_score2,f1_score,roc_auc,recall,prec,acc,score_arr,depth,num_node,can,score_train
0,0.715,0.6590807141361883,0.797153024911032,0.6583333333333333,0.8,0.7943262411347518,0.715,"[[112  28]
 [ 29  31]]",15,86,"[1, 1, 2]",0.91875
1,0.74,0.6843127731908694,0.8169014084507044,0.680952380952381,0.8285714285714286,0.8055555555555556,0.74,"[[116  24]
 [ 28  32]]",18,95,"[2, 1, 2]",0.9125
2,0.74,0.6621621621621623,0.8243243243243245,0.6523809523809524,0.8714285714285714,0.782051282051282,0.74,"[[122  18]
 [ 34  26]]",14,126,"[3, 1, 2]",0.915
3,0.745,0.6887871853546911,0.8210526315789474,0.6845238095238095,0.8357142857142857,0.8068965517241379,0.745,"[[117  23]
 [ 28  32]]",14,138,"[5, 1, 2]",0.8975
4,0.7250000000000001,0.630860095976375,0.8172757475083056,0.6226190476190476,0.8785714285714286,0.7639751552795031,0.725,"[[123  17]
 [ 38  22]]",15,159,"[7, 1, 2]",0.89
5,0.69,0.5971933471933472,0.7905405405405405,0.5928571428571429,0.8357142857142857,0.75,0.69,"[[117  23]
 [ 39  21]]",15,177,"[10, 1, 2]",0.87375
